Symbol,Target,Criteria,Strategy,TFrame,LatestQtr,StarStock,CumlRnk,Conviction,Category,InFolio,Cyclical,XIRR,Remarks,MBQ,Reasoning
PIIND,,,ATH,,0,0,109,H,CHEMICALS,,SC,,,,Leading agri-chemical player with strong R&D focus and robust export business.
PNB,90,XR,ATH,W,1,1,165,L,BANKS,,NC,238,,XY25/XR/X5K,PSU bank with weak asset quality and governance challenges.
POLYCAB,,OX40N,ATH,W,1,1,33,H,CABLES,,SC,,,OX40N,Market leader in cables and wires with diversification into consumer appliances.
POWERGRID,,,,,0,0,62,M,POWER,,SC,,,X5K,Dominant player in power transmission with steady growth but PSU inefficiencies.
PRAJIND,,AR,ATH,W,0,0,231,M,ENGINEERING,,DC,,,AR,Strong focus on biofuels and clean energy solutions with innovative product offerings.
PVRINOX,,,,,0,0,225,M,ENTERTAINMENT,,DC,,,,Leading multiplex operator with strong brand but cyclical business tied to discretionary spending.
QUESS,986,XY24,NTT,D,0,0,198,X,MISC,1,NC,-33,,XY24,Staffing and outsourcing firm with execution challenges in a fragmented market.
RADICO,,X40N,ATH,W,1,1,191,X,MISC,,NC,,,X40N,Alcoholic beverage player with strong premiumization strategy and consistent growth.
RAJESHEXPO,518,OX40N,NTT,W,0,0,267,L,JEWELLERY,1,DC,-49,,OX40N,Gold trading company with low margins and limited value addition.
RAJOOENG,,AR,ATH,W,0,0,114,H,MISC,1,NC,,,AR,
RAYMOND,,X5K,ATH,D,0,0,204,M,REALTY,,DC,,,X5K,
RBLBANK,388,XY24,NTT,W,0,0,251,M,BANKS,,NC,-48,,XY24,Small private bank with improving metrics but historical governance and asset quality issues.
RECLTD,446,XY25,NTT,D,,,55,M,FINANCE,1,NC,,,X5K/XY25,
RELAXO,1176,X40N,NTT,W,1,0,136,X,FOOTWEAR,1,SC,-26,,X40N,Affordable footwear leader with consistent growth but rising input cost challenges.
RELIANCE,1533,XY25,NTT,D,1,0,37,X,REFINERIES,,SC,67,,XY25/X40/X5K,Diversified conglomerate with leading positions in telecom retail and petrochemicals.
REPCOHOME,880,XY24,NTT,W,0,0,134,H,FINANCE,1,NC,-44,,XY24,Regional housing finance company with limited scale and rising competition.
ROSSARI,965,XY24,NTT,W,0,0,216,M,CHEMICALS,,SC,32,,XY24,Specialty chemicals player with innovative products but faces scalability challenges.
ROUTE,2390,SR,ATH,W,0,0,118,H,IT,1,NC,-38,SD: till 2390,SR,Cloud communication provider with strong growth prospects but intense competition.
SAIL,228,XY24,BTT,W,0,0,192,M,STEEL,,DC,-18,,XY24,PSU steel producer with cyclical earnings and governance challenges.
SAMMAANCAP,326,XY25,NTT,W,0,0,208,M,FINANCE,1,NC,,SD: 320,XY25/XR,Small NBFC with limited scale and high concentration risks.
SANOFI,7552,X40,NTT,D,0,0,128,X,PHARMA,,NC,,,X40,Global pharma major with strong brand portfolio and ethical management.
SATIN,274,XY24,NTT,D,0,0,126,H,FINANCE,1,NC,-58,,XY24,Microfinance player with execution and asset quality concerns.
SBICARD,1075,XY24,NTT,W,0,0,112,H,FINANCE,,NC,-1,,XY24,Leading credit card issuer with strong parent backing and consistent growth.
SBIETFPB,400,XY24,BTT,D,0,0,285,M,BANKS,,NC,0,,XY24,ETF backed by PSU banking sector reflects the mixed performance of its constituents.
SBILIFE,,AR,ATH,D,0,0,41,H,INSURANCE,,NC,,,AR,Leading life insurer with strong growth and efficient operations.
SBIN,863,XY25,NTT,W,1,1,60,X,BANKS,,NC,93,,XY25/X40/X5K,Largest PSU bank with improving metrics but faces PSU inefficiencies.
SCHAEFFLER ,,AR,ATH,W,0,0,,H,BEARINGS,,DC,,,AR,Leading auto component player with strong product portfolio and technological expertise.
SFL,1287,XY24,NTT,W,1,0,229,M,MISC,1,NC,-13,,XY24/OX40N,Well-managed NBFC with a strong focus on niche lending but scalability constraints.
SHAKTIPUMP,,AR,ATH,D,1,1,121,H,MISC,,NC,,,AR,
SHALBY,327,XY24,NTT,W,0,0,235,M,HEALTHCARE,1,NC,-31,,XY24,Hospital chain with regional focus and limited differentiation in a competitive market.
SHARDACROP,,XR,ATH,D,0,0,227,M,CHEMICALS,,SC,,,XR,Agrochemical player with a strong product portfolio but intense competition.
SHREECEM,,,ATH,,0,0,50,H,CEMENT,,DC,,,,Premium cement player with excellent cost efficiency and strong brand.
SHRIRAMFIN,,X5K,ATH,D,0,0,65,M,FINANCE,,NC,,,X5K,
SIEMENS,,AR,ATH,D,0,0,15,H,ELECTRICAL,1,SC,,,AR,Leader in industrial automation and infrastructure with consistent growth and innovation.
SIS,528,OX40N,NTT,W,1,0,156,H,MISC,1,NC,-28,,OX40N,Leading security services company with strong growth but low margins.
SONACOMS,1006,AR,ATH,W,0,0,202,M,AUTO,1,DC,-8,,AR,Auto component leader with innovative products but cyclical industry exposure.
SONATSOFTW,,MGC,ATH,W,0,0,117,H,IT,,NC,,,MGC,IT services player with strong focus on niche verticals and excellent financial performance.
SPORTKING,948.65,AR,ATH,W,0,0,286,L,TEXTILES,,DC,-68,,AR,Niche textile player but operates in a commoditized and cyclical industry.
SRF,2787,XR,ATH,W,0,0,111,H,CHEMICALS,,SC,18,,XR,Diversified chemicals leader with strong innovation export focus and consistent growth.
STARHEALTH,761,XY24,NTT,W,0,0,144,H,INSURANCE,1,NC,-19,,XY24,Leading health insurer with growing market share but faces intense competition.
SUNPHARMA,,,ATH,,0,0,13,H,PHARMA,,NC,,,X5K,Largest Indian pharma company with robust portfolio and global presence.
SUNTV,1092,OX40N,ATH,W,0,0,207,M,ENTERTAINMENT,,DC,13,,OX40N,Regional media leader but faces challenges from digital streaming platforms.
SURYODAY,240,XR,NTT,W,0,0,135,H,BANKS,1,NC,-41,VB: till ATH 311,XR,Small finance bank with limited scale and rising competition in financial inclusion.
SUZLON,,,,,0,0,253,L,ELECTRICAL,,SC,,,,Pioneer in wind energy but historically burdened by high debt and execution challenges.
SYMPHONY,1306,OX40N,NTT,W,1,1,196,M,DURABLES,1,DC,75,,OX40N,Market leader in air coolers but growth is seasonal and dependent on weather patterns.
TANLA,1300,AR,ATH,W,0,0,133,H,IT,1,NC,-37,,AR,Strong position in cloud communication but operates in a competitive tech space.
TASTYBITE,,XR,ATH,D,0,0,287,M,FMCG,,NC,27,,XR,Niche packaged foods player with export focus but limited domestic penetration.
TATACOMM,,AR,,W,0,0,176,M,TELECOM,,SC,,,AR,Global telecom player with improving margins but capital-intensive business.
TATACONSUM,,AR,ATH,,0,0,44,H,FMCG,,NC,51,,AR,Diversified FMCG giant with strong brands and consistent premiumization strategy.
TATAELXSI,9161,OX40N,NTT,W,1,1,98,H,IT,1,NC,-10,,OX40N,Niche IT services player in design and automotive tech with excellent growth prospects.
TATAMOTORS,1065,XY24,NTT,D,1,1,54,X,AUTO,1,DC,-49,,XY24/X5K/X40N,Improving fundamentals driven by EV focus but cyclical nature of auto industry remains.
TATAPOWER,,XR,ATH,,0,0,68,M,ELECTRICAL,,SC,,,XR,Strong push in renewable energy but faces regulatory and operational challenges.
TATASTEEL,,,,,0,0,77,M,METALS,,DC,,,,Global steel leader with improving cost efficiencies but cyclical exposure.
TCS,4998,X40,ATH,D,1,1,1,X,IT,1,NC,8,,X40/X5K,IT services giant with unparalleled scale execution capabilities and consistent growth.
TEAMLEASE,3487,X40N,NTT,W,0,0,212,X,MISC,,NC,2,,X40N,Market leader in staffing solutions but operates on thin margins.
TECHM,,,,,0,0,61,M,IT,,NC,,,,Diversified IT services player but lags peers in high-margin digital transformation.
TIPSINDLTD,,,,,0,0,,M,ENTERTAINMENT,,DC,,,,Niche player in music content with rising digital monetization opportunities.
TITAGARH,1548,XY24,NTT,D,0,0,158,H,ENGINEERING,1,DC,-40,,XY24,Rail and infrastructure player benefiting from government capex but cyclical demand.
TITAN,4713,X40,ATH,D,1,1,18,X,JEWELLERY,,DC,,,X40,Market leader in jewelry and watches with consistent growth and strong brand equity.
TORNTPHARM,,,ATH,,0,0,36,H,PHARMA,,NC,,,,Pharma leader with focus on branded generics and strong financials.
TRIDENT,48,XR,NTT,W,0,0,224,M,TEXTILES,1,DC,-16,,XR,Integrated textile player with improving fundamentals but cyclical industry exposure.
TTKPRESTIG,770,OX40N,NTT,W,0,0,245,M,DURABLES,1,DC,1,,OX40N,Kitchen appliance leader with strong brand presence and consistent growth.
TV18BRDCST,,XR,ATH,D,0,0,,L,ENTERTAINMENT,,DC,,,XR,Media player with fluctuating revenues and limited pricing power.
UBL,,X40N,ATH,D,0,0,186,X,FMCG,,NC,,,X40N,
UJJIVANSFB,60,OX40N,NTT,W,1,0,163,H,BANKS,,NC,-27,,OX40N,Similar to UJJIVAN with challenges in scaling up and sustaining profitability.
ULTRACEMCO,,X40N,ATH,,1,0,45,X,CEMENT,,DC,,,X40N/X5K,Leading cement player with excellent cost efficiencies and market dominance.
UNIONBANK,163,XY24,NTT,W,1,1,66,M,BANKS,,NC,-39,,XY24/X5K,PSU bank with weak asset quality but improving metrics.
UNITDSPR,1644,X40N,NTT,W,0,0,86,X,BREWERIES,1,DC,,,X40N,Market leader in premium alcoholic beverages with strong brand portfolio.
UPL,737,AR,NTT,W,0,0,193,M,CHEMICALS,,SC,,,AR,Global agrochemical player with robust portfolio but faces debt-related concerns.
UTIAMC,1207,XY24,ATH,W,0,0,247,M,FINANCE,,NC,96,,XY24,Established mutual fund player but lags private peers in growth.
V2RETAIL,,AR,ATH,D,0,0,288,H,TEXTILES,,DC,,,AR,Stands out for its strong management robust business model in retail and promising future growth potential making it a solid choice in the micro-cap segment.
VAIBHAVGBL,521,XR,NTT,W,0,0,125,H,JEWELLERY,1,DC,-24,VB: range bound target 520,XR,Niche jewelry and lifestyle retailer with strong export focus.
VALIANTORG,838,XR,NTT,W,0,0,139,H,CHEMICALS,1,SC,-27,,XR,Specialty chemical player with strong margins but smaller scale.
VBL,,X40N,ATH,D,0,0,5,X,FMCG,1,NC,,,X40N,
VEDL,,,,,1,0,166,L,MINING,,DC,,,X5K,Commodity business with cyclical earnings and corporate governance concerns.
VEEDOL,,XR,ATH,D,0,0,289,L,CHEMICALS,,SC,,,XR,Mid-tier lubricant player with limited pricing power in a competitive market.
VGUARD,,XR,ATH,D,0,0,222,M,ELECTRICAL,,SC,,,XR,Consumer appliances player with consistent growth but rising input costs.
VINATIORGA,1882,OX40N,ATH,W,1,1,127,H,CHEMICALS,,SC,,,OX40N,Specialty chemical leader with high margins and export focus.
VIPIND,489,OX40N,NTT,W,1,0,250,M,MISC,,NC,-47,,OX40N,Market leader in luggage with consistent growth and brand equity.
VOLTAS,1530,XY25,NTT,,0,0,99,X,AC,1,SC,,,XY25/X40/AR,Market leader in air conditioning and cooling products with robust brand equity.
WESTLIFE,,AR,ATH,W,0,0,242,M,RESTAURANTS,,DC,,,AR,McDonald's franchisee in India with strong growth but operates on thin margins.
WHIRLPOOL,2270,XR,NTT,D,0,0,223,M,DURABLES,1,DC,34,SD: 2539,XR/OX40,Consumer appliances leader with premium positioning but rising competition.
WIPRO,420,XR,NTT,W,1,1,53,M,IT,1,NC,33,,XR/X5K,IT services major but lags peers in growth and margins.
WSTCSTPAPR,,XR,ATH,W,0,0,290,M,PAPER,,DC,,,XR,Regional paper manufacturer with cyclical business and limited differentiation.
YESBANK,,,,,0,0,255,L,BANKS,,NC,,,,Private bank with improving metrics but a history of governance and asset quality issues.
ZEEL,,,,,0,0,215,M,ENTERTAINMENT,,DC,,,,Leading media player with challenges from streaming platforms and governance concerns.
ZENTEC,,AR,ATH,D,1,1,124,H,MISC,,NC,,,AR,
